Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
347,1,83.93,2,2,2,222,At Risk
95,1,136.8,4,2,3,423,Potential Loyalists
88,1,51.27,4,2,1,421,Potential Loyalists
89,1,32.43,4,2,1,421,Potential Loyalists
144,1,363.07,4,2,4,424,Potential Loyalists
182,1,69.03,3,2,2,322,Potential Loyalists
289,1,146.75,2,2,3,223,At Risk
615,1,124.97,1,2,3,123,At Risk
197,1,56.94,3,2,1,321,Potential Loyalists
116,1,247.68,4,2,4,424,Potential Loyalists
66,1,78.32,4,2,2,422,Potential Loyalists
395,1,144.41,2,2,3,223,At Risk
261,1,46.05,3,2,1,321,Potential Loyalists
325,1,46.82,2,2,1,221,At Risk
221,1,1511.86,3,2,4,324,Potential Loyalists
115,1,108.29,4,2,3,423,Potential Loyalists
430,1,217.64,1,2,4,124,At Risk
430,1,151.81,1,2,3,123,At Risk
91,1,368.98,4,2,4,424,Potential Loyalists
541,1,283.61,1,2,4,124,At Risk
266,1,83.41,3,2,2,322,Potential Loyalists
598,1,160.95999999999998,1,2,3,123,At Risk
348,1,608.28,2,2,4,224,At Risk
234,1,240.87,3,2,4,324,Potential Loyalists
295,1,92.9,2,2,2,222,At Risk
303,1,164.79,2,2,3,223,At Risk
426,1,96.88,1,2,2,122,At Risk
442,1,33.48,1,2,1,121,At Risk
569,1,117.24,1,2,3,123,At Risk
486,1,51.5,1,2,1,121,At Risk
284,1,44.69,2,2,1,221,At Risk
245,2,250.03,3,4,4,344,Loyal Customers
426,1,117.94,1,2,3,123,At Risk
139,1,88.37,4,2,2,422,Potential Loyalists
330,1,51.57,2,2,1,221,At Risk
584,1,164.18,1,2,3,123,At Risk
457,2,432.93,1,4,4,144,Others
233,1,82.12,3,2,2,322,Potential Loyalists
171,1,149.86,3,2,3,323,Potential Loyalists
429,1,56.78,1,2,1,121,At Risk
83,1,124.82,4,2,3,423,Potential Loyalists
220,1,78.2,3,2,2,322,Potential Loyalists
337,1,258.0,2,2,4,224,At Risk
427,1,522.62,1,2,4,124,At Risk
179,1,156.95,3,2,3,323,Potential Loyalists
310,1,151.74,2,2,3,223,At Risk
556,1,129.06,1,2,3,123,At Risk
358,1,65.1,2,2,2,222,At Risk
66,1,52.57,4,2,1,421,Potential Loyalists
436,1,102.92,1,2,2,122,At Risk
250,1,162.85,3,2,3,323,Potential Loyalists
242,1,109.92,3,2,3,323,Potential Loyalists
249,1,128.22,3,2,3,323,Potential Loyalists
73,1,166.04,4,2,3,423,Potential Loyalists
237,1,429.09,3,2,4,324,Potential Loyalists
320,1,47.38,2,2,1,221,At Risk
206,1,116.66,3,2,3,323,Potential Loyalists
610,1,144.0,1,2,3,123,At Risk
106,1,153.71,4,2,3,423,Potential Loyalists
323,1,172.53,2,2,3,223,At Risk
213,1,52.23,3,2,1,321,Potential Loyalists
126,1,49.3,4,2,1,421,Potential Loyalists
327,1,71.3,2,2,2,222,At Risk
89,1,35.36,4,2,1,421,Potential Loyalists
177,1,197.26,3,2,4,324,Potential Loyalists
164,1,55.56,4,2,1,421,Potential Loyalists
226,1,155.98,3,2,3,323,Potential Loyalists
73,1,143.49,4,2,3,423,Potential Loyalists
329,1,40.68,2,2,1,221,At Risk
460,1,32.09,1,2,1,121,At Risk
115,1,208.42,4,2,4,424,Potential Loyalists
465,1,69.12,1,2,2,122,At Risk
111,1,87.18,4,2,2,422,Potential Loyalists
147,1,161.27,4,2,3,423,Potential Loyalists
554,1,52.74,1,2,1,121,At Risk
209,1,140.08,3,2,3,323,Potential Loyalists
128,1,132.6,4,2,3,423,Potential Loyalists
223,1,188.06,3,2,4,324,Potential Loyalists
246,1,146.46,3,2,3,323,Potential Loyalists
324,1,302.35,2,2,4,224,At Risk
